start	end	text
500	5000	So the project of the phenomenology of spirit
5000	9560	is to determine what knowledge is or what knowing is.
9560	11800	And the reason that we want to do that
11800	15720	is to determine whether knowledge of the absolute
15720	20840	is possible or whether, as Kant argued in the first critique,
20840	24680	the absolute lies beyond the limits, at least,
24680	27200	of theoretical knowledge we're going to be in.
27200	29760	Now, what the absolute is for Hegel
29840	33280	is something that it's going to take us a while to see.
33280	36640	And there's kind of no, I don't think
36640	40080	it's probably helpful to say the Hegelian formula of what
40080	42840	the absolute idea is before we get there.
42840	44720	So the short version is it's what
44720	48680	Hegel will call the absolute idea at the end of the logic.
48680	51800	Before we get there, you can think of it as God.
51800	56120	A little bit better, you can think of it as Spinoza's God.
56120	57720	A little bit better, you can think of it
57840	61920	as the unconditioned in Kant.
61920	63560	And even better than that would be
63560	68080	if you thought of it as neither subjective, so neither
68080	72120	a mind nor nature, but something that's both.
72120	75200	What the hell that means, you'll see.
75200	80280	So Hegel then discusses what I call
80280	83960	the meta-epistemological problem, a problem about how
83960	86640	we determine what the correct epistemology is,
86640	89800	what the correct account of what knowing is.
89800	93480	And the problem is, how do we decide,
93480	95840	not just between different knowledge claims,
95840	98240	but between different epistemologies?
98240	100920	So if I claim to know that Fargo is
100920	104520	the capital of North Dakota, and you claim that I don't know
104520	107640	that because it's false, but we share the same epistemology,
107640	113240	namely looking at an atlas, then that's not a big problem.
113240	116040	But if you and I have different epistemologies,
116040	118560	and I claim I know that God exists
118560	120840	on the basis of immediate religious state,
120840	123920	then you say, well, you couldn't know whether God exists,
123920	126520	because the proposition God exists appears nowhere
126520	127760	in natural science.
127760	130440	Well, first of all, we both have really shitty epistemologies.
130440	133480	But secondly, and arguably the second one
133480	138200	is worse than the first, there's no way
138200	142360	to adjudicate which of us has the correct conception
142360	144640	of knowledge on the basis of which we could then
144640	148040	adjudicate who knows what they claim to be.
148040	159400	So Hegel relates this to the problem of the criterion,
159400	162760	which was originally formulated by sextus empiricus
162760	165400	in the outlines of purinism.
165400	169600	And the problem of the criterion takes the form of a dilemma.
169600	174080	Either we have some can someone makes a knowledge claim,
174080	176080	and they have a certain conception of knowledge.
176080	177840	They claim to know that God exists
177840	181360	on the basis of immediate religious faith.
181360	186040	We either apply their own conception of knowledge,
186040	189280	in which case trivially, their knowledge claim
189280	191840	is going to be vindicated.
191840	194620	So if we either, for each person's
194620	198360	conception of knowledge, we simply apply it to itself,
198360	201000	everyone's going to pass that task.
201000	203240	The other possibility is that we apply
203240	205160	a different conception of knowledge.
205160	207480	The problem with that is that looks question made.
207480	210880	Someone says, I know that God exists
210880	213000	on the basis of immediate religious faith.
213000	215840	And then I say, well, that epistemology
215840	217960	doesn't justify that knowledge claim,
217960	220680	because that epistemology fails the criterion
220680	222040	of my epistemology.
222040	224920	Namely, you know those and only those things
224920	228520	that appear as propositions in empirical natural science.
228520	230580	I've banked the question against the person
230580	232920	who has a different criterion of knowledge
232920	235600	or a different conception of what knowledge is.
235600	239760	So Hegel's solution is a version of the first one,
239760	245360	where we apply some conception of knowledge to itself.
245360	248160	But the difference is he thinks that these conceptions
248160	251360	of knowledge, or concepts, as he calls them
251360	256680	in the phenomenology, typically do not agree with themselves.
256680	258960	When you look at them, what you see
258960	261880	is their conception of knowledge and their conception
261900	265980	of the object of knowledge don't agree.
265980	269380	And now you might think that's very artificial.
269380	272020	But actually, if you look at a lot of epistemology,
272020	274380	certainly in the history of philosophy,
274380	278500	you'll find it is very often these problems do arise.
278500	281500	If you read Locke, it's very unclear how Locke
281500	284540	thinks he knows all of the things he thinks he knows,
284540	286380	because he thinks he knows everything
286380	289660	he knows through sensation, ultimately.
289680	293200	But that he claims to know that God exists,
293200	296800	that there are substances with powers that are extended,
296800	298400	or at least have primary qualities that
298400	300600	resemble our ideas of them.
300600	304640	And it's very unclear from Locke how he could know any
304640	306280	of the things he claims to know.
306280	309160	Likewise, the My Little Toy epistemology,
309160	312480	the person who knows only the propositions enumerated
312480	314400	in the empirical natural sciences, which
314400	315880	here's one of the propositions.
315880	317560	Here's a proposition that occurs nowhere
317560	319200	in empirical natural science.
319220	321780	You know all and only those things
321780	324300	that are stated in the empirical natural science.
324300	326460	But their own epistemology, they don't
326460	328580	know what they claim to know.
328580	333000	So Hegel's solution, which is to examine
333000	337140	the internal coherence of these concepts of knowledge,
337140	342220	is more productive than it might at first appear.
342220	344900	So what Hegel is going to then engage in
344900	348400	is an imminent or internal critique
348400	351400	of various conceptions of knowledge,
351400	360680	or as he calls them, forms or shapes of consciousness.
360680	361760	Gestadens büliskes.
364760	367600	Now they're imminent because we are not
367600	370720	going to impose our own criteria of knowledge
370720	372440	on these shapes of consciousness.
372440	375100	We're going to examine them purely internally
375100	377840	and see whether their conception of knowledge
377840	380720	matches their conception of the object of knowledge.
380720	382460	That is to say, whether you could
382460	385060	know, according to their conception of what knowledge
385060	387940	is, the object of knowledge according to their conception
387940	390580	of the object of knowledge.
390580	396740	Now Hegel adopts for expository or analytic purposes
396740	401060	a kind of abstract model of what consciousness is.
401060	406860	And that is we have consciousness,
406860	414620	we have an object, which we call the in itself,
414620	419540	because it isn't reducible to its being for consciousness,
419540	424140	and we have the relationship of that object for consciousness,
424140	427300	how it is for consciousness, which
427300	432620	is another way of describing it.
432620	434980	Now a few comments about this.
434980	438060	One, you might say, but wait, aren't there
438060	441900	conceptions of knowledge on which consciousness knows itself?
441900	443140	Absolutely.
443140	445700	But we're going to unfold those in the course
445700	446940	of the phenomenon.
446940	449820	So we start with what Hegel thinks
449820	455100	of as the most immediate natural conception of knowledge, one
455100	457380	in which you know something that is distinct from
457380	459420	and irreducible to your knowledge of it.
459420	462460	That's what Hegel characterizes as consciousness.
466620	473900	Now the question is going to be, does this relation,
473900	478340	as consciousness conceive of it, constitute knowledge
478340	481380	of this object as consciousness conceives it?
481380	484660	Another question is, where are these conceptions coming from?
484660	489260	They're coming from consciousness itself.
489260	491580	Or as Hegel will say, consciousness
491580	494180	is the concept of itself.
494180	496900	Consciousness has a conception of it.
496900	500860	That means in the ordinary sense of self-consciousness,
500860	503380	consciousness is self-conscious from the beginning
503380	505420	of the phenomenon.
505420	508620	In the ordinary sense of not only knowing objects,
508620	510980	but also having some conception of what you're
510980	513140	doing in knowing objects, who you are,
513140	515020	what knowledge is, what the object is,
515020	518740	self-consciousness is present from the very beginning.
518740	522220	Self-consciousness in Hegel's conception,
522220	525300	in the technical sense in which it emerges in the phenomenology,
525300	529540	refers to review on which what knowledge fundamentally
529540	532620	is, is self-consciousness, so that consciousness doesn't
532620	534140	fundamentally know an object.
534140	536940	It knows itself knowing an object.
536940	539820	So that we're not going to get to in this case.
539820	541460	You don't think that somehow consciousness
541460	543180	has no conception of itself.
543180	546900	Because if it did from the first page of the phenomenology,
546900	547820	the project would fail.
553700	559940	If this doesn't match this as consciousness conceives of it,
559940	562940	then this is not a way of knowing this
562940	564660	as consciousness conceives of it,
564660	569420	and this shape of consciousness contradicts it.
569460	573900	But now if this shape of consciousness contradicts itself,
573900	579140	the result is not what Hegel calls an abstract negation.
579140	582060	That is to say, we just give up on knowledge.
582060	587580	The result is what Hegel calls a determinate negation.
587580	591900	Or that is to say, a new shape of consciousness, which
591900	597340	is determinately, specifically, not this shape of consciousness.
597340	599700	And the new shape of consciousness,
599700	605060	if this is object one, object two
605060	609700	is the being of object one for consciousness.
613980	616740	So the idea is we have some conception of knowing.
616740	618780	We have some conception of the object of knowledge.
618780	622020	That turns out not to be a way of knowing that object.
622020	624700	So then what results from that is not, well,
624700	626380	let's just give up on knowing.
626380	630300	But oh, what we can know is objects
630300	633500	insofar as they can be for consciousness in this way.
633500	639060	And a very good example of this is,
639060	641300	in the beginning of the Transcendent of Critique of Pure
641300	643580	Reason, Kant's first view, this is
643580	645740	a kind of slightly hokey, big alien reading
645740	647940	of the beginning of the Critique of Pure Reason,
647940	650900	you could think of the first shape of consciousness
650900	654860	in the Critique of Pure Reason as transcendental realism.
655500	657220	What we know is things in themselves,
657220	659180	totally mind-dependent objects, and we
659180	661420	know them in their mind-dependent nature.
661420	664940	And we know them through their effects upon our sensibility.
664940	666580	And then the argument of the first critique
666580	668500	very early on in the Transcendental Aesthetic
668500	672300	is that that way of knowing, sensible cognition,
672300	674540	is not a way of knowing things in themselves.
674540	678080	So then the second shape of consciousness,
678080	680620	Kant's own view, Transcendental Idealism,
680620	682500	is we know the being of consciousness
682500	684500	of the first object for consciousness.
684500	687580	What we know is not things in themselves
687580	689700	via sensory cognition.
689700	692060	We know the being of them for sensory cognition.
692060	695100	That is to say, their appearance is sensory cognition.
695100	697900	So the second object is the being of the first object
697900	698900	for consciousness.
