start	end	text
0	5320	So let me say a few things about the idea of this class.
5320	11040	So Hegel has always suffered from the problem
11040	13280	that he is very hard to teach.
13280	15640	And the reason he is very hard to teach
15640	18920	is because there is no book by Hegel
18920	23120	that is the equivalent of the critique of pure reason,
23120	28120	or the ethics of Spinoza, or the Republic of Plato,
28240	31800	or Truth is a Human Nature.
31800	34560	That is to say, a single book that you
34560	36920	could teach either in the course of a semester,
36920	40000	or you could teach a significant chunk of a semester,
40000	44120	that gives you, if not the philosopher's whole system,
44120	48960	at least enough of it that you can kind of figure out
48960	52480	how everything fits into it.
52480	57200	The closest thing in Hegel would be the philosophy of right.
57200	61640	But that is really only a very small part of Hegel's system.
61640	65040	The books by Hegel that do contain a more complete
65040	67640	presentation of the system have this problem
67640	71520	that they are unbelievably hard to read,
71520	74240	in particular this one, the Phenomenology of Spirit.
74240	77560	So the standard way that Hegel gets
77560	79760	taught at the undergraduate class
79760	82960	is you teach the Phenomenology of Spirit.
82960	86080	So in the past when I've taught this class,
86080	88200	I have done the standard thing.
88200	90320	You try to read the Phenomenology of Spirit.
90320	92960	The problem with that is that in one semester,
92960	96480	you can only really do half of the Phenomenology.
96480	98640	I never managed to get to the end.
98640	102000	And the Phenomenology of Spirit is, I think,
102000	105960	the hardest book in the entire Western philosophical tradition.
105960	109880	So what has this experience teaching the Phenomenology
109880	112360	of Spirit that, at a certain point, people aren't really
112360	113920	reading the book anymore.
113920	117280	They're just kind of getting a kind of indirect high level
117280	118720	summary of it.
118720	120960	And they're kind of talking about Hegel,
120960	123480	but they're not really talking about what's in the book.
123480	124960	And that's not just true of students
124960	126160	in undergraduate classes.
126160	128520	On Hegel, I sometimes have the impression
128520	131120	with a lot of so-called Hegel scholars
131120	133840	that they're not really reading the same book that I am.
133840	137000	They're kind of like doing this second hand high level
137000	137880	summary of Hegel.
137880	142280	So the last time I taught 316, I went the opposite direction.
142280	145840	We read the Phenomenology of Spirit line by line.
145840	148400	In fact, in at least one three hour course,
148400	150960	we didn't get past a single sentence.
150960	155520	That had the contrary benefit that people were really, really
155520	157800	reading the text.
157800	160160	However, it had the complementary problem
160160	162120	that we didn't get very far.
162120	165520	And after a certain point, even if you're
165520	168280	reading it sentence by sentence, Hegel
168280	170680	is extraordinarily difficult.
170680	175320	So this class is going to go in the opposite direction.
175320	179280	The idea of this class is that we're going to do,
179280	184440	or I'm going to present, the entirety of Hegel's system,
184440	185640	or at least not the whole thing.
185640	187400	You can't do the whole thing one semester.
187400	190680	I'm going to talk about all of the main structural moments
190680	191920	of Hegel's system.
191920	194880	And I'll talk about this in more detail, a little bit more
194880	200040	detail later today, and much more detail in several weeks.
200040	202600	We're going to talk about the Phenomenology of Spirit, which
202600	207280	is the introduction to the system, which has three parts,
207280	210760	logic, philosophy of spirit.
214920	218440	Sorry, I really should bring my notes with me.
218440	222760	Philosophy of nature, that's an embarrassing mistake.
222760	223920	The philosophy of spirit.
223920	229640	So we're obviously not going to read every part.
229640	234040	The book that presents this whole thing is called the Psychopedia.
234040	236800	We're not going to read the entire Encyclopedia.
236800	238240	That would be ridiculous.
238240	241040	But we're going to talk about all of the main structural moments
241040	241920	of this.
241920	245560	So we're going to spend the first two weeks on the Phenomenology
245560	246640	of Spirit.
246640	251680	We're going to spend three, four, five, six, from weeks three
251680	253840	to six on the logic, which means we're
253840	256800	going to talk about the beginning.
256800	259360	And we're going to talk about the end.
259360	261840	And then we're going to spend a week on the transition
261840	263440	to the philosophy of nature.
263440	265400	Then we're going to spend a week talking
265400	268480	about the move from the philosophy of nature
268480	270080	to the philosophy of spirit.
270080	276160	And then we're going to spend one week on the philosophy of right.
276160	277800	It's week nine.
277800	281640	We're going to spend, I feel like I've missed a week somewhere
281640	282140	in here.
282140	283560	This is not quite accurate.
283560	285960	But you get the basic picture.
285960	295400	And then we're going to spend one week on art, one week on religion,
295400	299400	and then one week on philosophy, which
299400	302600	is the return of the philosophy of spirit back to the logic.
302600	305720	So we're not going to cover every single part of the system.
305720	309600	But we are going to talk about all the major moving parts.
309600	314560	So the other idea that sort of mixed in with this idea for this course
314560	318360	is we're going to read all the parts of Hegel you can just read.
318360	320800	We're going to read all the easy parts of it.
320800	322760	And we're going to read them in systematic order
322760	326360	so that you have some idea of what Hegel's philosophical system actually
326360	326960	is.
326960	331120	The other problem with reading the phenomenology of spirit,
331120	334200	the other problem with treating the phenomenology of spirit
334200	337120	as like the textbook for an undergraduate Hegel course,
337120	342240	is I'll talk about this more later today and more next week.
342240	344840	The phenomenology of spirit is in a certain way,
344840	349400	although this requires qualifications, only Hegel's negative view.
349400	353000	It should bear the subtitle wrong answers only.
353000	357240	So the phenomenology of spirit is a series of failed attempts,
357240	359880	failed accounts of what knowledge is.
359880	364600	So it's just very weird that this book has become treated
364600	367440	as the critique of pure reason of Hegel.
367440	371200	That is just, I mean, Hegel would be totally shocked
371200	373160	that this is the book that everyone reads,
373160	376720	because it's basically his jubinellia.
376720	379320	And he wasn't even really sure what to do with it
379320	382160	once he had completed the mature system, which is this.
386160	387400	OK.
387400	391960	So that's the idea of what you've gotten yourself into.
391960	392920	OK.
392920	394360	Some course mechanics.
394360	397240	The syllabus is on Quercus.
397240	398800	I will just say a few things about it.
398800	400800	I find discussing course mechanics in the beginning
400800	402720	of the semester really boring.
402720	404280	So I'm going to do this very quickly.
404280	407520	You have to write two essays, and there is a final exam
407520	409480	during the exam period.
409480	413080	The, you know, it couldn't be more straightforward.
413080	414280	OK.
414280	416920	Your participation grade will be determined
416920	420160	on the basis of how many weeks you submit questions
420160	421400	about the reading.
421400	423160	So the questions about the reading should be written.
423160	425160	You can type them if you want, but it's also
425160	426720	fine to submit them just handwritten,
